Average min,Average max,mean actual,max temp actual,min temp actual,date,y
24,38,33,40,26,2013/1/1,0
24,38,28,33,22,2013/1/2,0
24,37,28,32,24,2013/1/3,0
24,37,34,37,30,2013/1/4,0
24,37,37,42,32,2013/1/5,0
24,37,40,46,34,2013/1/6,0
23,37,41,45,37,2013/1/7,0
23,37,42,48,35,2013/1/8,0
23,36,44,49,39,2013/1/9,0
23,36,44,47,40,2013/1/10,0
23,36,42,46,37,2013/1/11,0
23,36,45,47,42,2013/1/12,0
23,36,47,50,43,2013/1/13,0
23,36,47,56,38,2013/1/14,0
23,36,37,38,35,2013/1/15,0
23,36,35,37,32,2013/1/16,0
22,36,39,43,35,2013/1/17,0
22,36,30,35,25,2013/1/18,0
22,36,41,51,30,2013/1/19,0
22,36,42,53,30,2013/1/20,0
22,36,29,32,26,2013/1/21,0
22,36,20,27,13,2013/1/22,0
22,36,16,20,11,2013/1/23,0
22,36,17,22,12,2013/1/24,0
22,36,19,24,13,2013/1/25,0
22,36,21,27,15,2013/1/26,0
22,36,27,34,19,2013/1/27,0
22,36,33,36,29,2013/1/28,0
22,36,43,49,36,2013/1/29,0
22,37,49,59,39,2013/1/30,0
22,37,46,61,30,2013/1/31,0
22,37,28,31,24,2013/2/1,0
22,37,24,29,19,2013/2/2,0
22,37,27,30,24,2013/2/3,0
22,37,27,30,23,2013/2/4,0
22,38,30,32,28,2013/2/5,0
23,38,34,39,29,2013/2/6,0
23,38,29,32,26,2013/2/7,0
23,38,31,34,27,2013/2/8,0
23,38,27,32,21,2013/2/9,0
23,38,27,36,18,2013/2/10,0
23,39,40,45,34,2013/2/11,0
23,39,40,44,36,2013/2/12,0
23,39,39,44,33,2013/2/13,0
24,39,40,46,33,2013/2/14,0
24,39,46,55,37,2013/2/15,0
24,40,36,41,31,2013/2/16,0
24,40,25,32,18,2013/2/17,0
24,40,26,35,17,2013/2/18,0
25,40,41,49,33,2013/2/19,0
25,41,32,38,25,2013/2/20,0
25,41,29,34,24,2013/2/21,0
25,41,32,38,25,2013/2/22,0
26,41,39,42,36,2013/2/23,0
26,42,41,47,34,2013/2/24,0
26,42,39,45,32,2013/2/25,0
26,42,40,44,35,2013/2/26,0
27,42,42,47,36,2013/2/27,0
27,43,45,51,39,2013/2/28,0
27,43,41,45,36,2013/3/1,0
27,43,36,40,31,2013/3/2,0
28,44,35,40,29,2013/3/3,0
28,44,35,42,27,2013/3/4,0
28,44,40,49,31,2013/3/5,0
29,44,40,42,38,2013/3/6,0
29,45,36,38,33,2013/3/7,0
29,45,37,42,31,2013/3/8,0
30,45,45,55,35,2013/3/9,0
30,46,43,50,36,2013/3/10,0
30,46,47,54,40,2013/3/11,0
31,46,50,57,43,2013/3/12,0
31,47,45,52,38,2013/3/13,0
31,47,35,41,29,2013/3/14,0
32,47,39,47,30,2013/3/15,0
32,48,37,41,32,2013/3/16,0
32,48,34,38,29,2013/3/17,0
33,48,32,35,28,2013/3/18,0
33,48,38,43,33,2013/3/19,0
33,49,39,45,32,2013/3/20,0
34,49,35,40,30,2013/3/21,1
34,49,35,41,28,2013/3/22,0
34,50,39,46,32,2013/3/23,0
35,50,40,47,33,2013/3/24,0
35,50,38,40,36,2013/3/25,1
35,51,45,53,37,2013/3/26,0
36,51,45,53,36,2013/3/27,0
36,52,44,51,37,2013/3/28,0
36,52,48,55,40,2013/3/29,0
37,52,50,59,40,2013/3/30,0
